question,course,document
What code should I write in Pandas to compute a column percentile at q=0.75?,llm-zoomcamp,b4c8ac5a0c
"How do I force-remove every Docker container from the terminal, including ones that are still running?",llm-zoomcamp,66ccbb7da0
What command can I use to delete all Docker images at once from the command line?,llm-zoomcamp,66ccbb7da0
How can I remove every Docker volume using a terminal command?,llm-zoomcamp,66ccbb7da0
"What is the quickest way to clean up all containers, images, and volumes in Docker from the CLI?",llm-zoomcamp,66ccbb7da0
"Which Docker commands are used to wipe all existing containers, images, and volumes from the system?",llm-zoomcamp,66ccbb7da0
How can I fix the WinError 126 error on Windows when Python says it cannot load torch\lib\fbgemm.dll or one of its dependencies?,llm-zoomcamp,15e931476c
What should I install on Windows if I get an OSError about fbgemm.dll being missing from the PyTorch package?,llm-zoomcamp,15e931476c
"Does this error usually mean I need Visual C++ Redistributable, or is Visual Studio required as well?",llm-zoomcamp,15e931476c
"Why does PyTorch fail to import on Windows with a message about fbgemm.dll, and what is the recommended fix?",llm-zoomcamp,15e931476c
"If I see the specified module could not be found for fbgemm.dll in Windows, what installation steps should I try first?",llm-zoomcamp,15e931476c
"Do I have to turn in two capstone projects, or is one project enough?",llm-zoomcamp,d5fc98925d
What do attempt #1 and attempt #2 mean for the capstone submission window?,llm-zoomcamp,d5fc98925d
"If my first submission is not accepted, can I revise the project and submit again later?",llm-zoomcamp,d5fc98925d
"If I miss the first capstone deadline, can I still submit in the second window and catch up?",llm-zoomcamp,d5fc98925d
"If I submit a project, does it count for certification even if I do not review three peers?",llm-zoomcamp,d5fc98925d
"Is the capstone project done individually, or do we work in a team?",llm-zoomcamp,0fab61eca2
"Do we need to collaborate with other students on the capstone, or is it meant to be completed alone?",llm-zoomcamp,0fab61eca2
"Can the capstone be a group effort, or must each student submit their own project?",llm-zoomcamp,0fab61eca2
"Should I expect to form a group for the capstone project, or is it strictly individual work?",llm-zoomcamp,0fab61eca2
"For the final capstone, do students submit one project per person rather than a shared group project?",llm-zoomcamp,0fab61eca2
"Can I treat the competition as my capstone project, or are they considered separate things?",llm-zoomcamp,e892d44e42
"Is it allowed to join the math-kaggle-llm-competition with a team, and how does that differ from the capstone requirement?",llm-zoomcamp,e892d44e42
"If I participate in the competition, does that satisfy the capstone, or do I still need to do the capstone on my own?",llm-zoomcamp,e892d44e42
Can students team up for the math-kaggle-llm-competition while the capstone project remains individual?,llm-zoomcamp,e892d44e42
What is the relationship between the competition and the capstone—does entering the competition replace the capstone or not?,llm-zoomcamp,e892d44e42
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when I start my Streamlit app with `docker-compose`, even though it works outside Docker?",llm-zoomcamp,e8df9f0d12
What do I need to add or check in my Docker setup so `docker-compose` can run a Streamlit app without the OCI runtime error?,llm-zoomcamp,e8df9f0d12
"Do I need a `Dockerfile` for a Streamlit app launched with `docker-compose`, and what should I do if I forgot to create one?",llm-zoomcamp,e8df9f0d12
"After updating my `docker-compose` file to include Streamlit, what is the correct command to rebuild the image and start the container again?",llm-zoomcamp,e8df9f0d12
My Streamlit app runs normally on my machine but fails in `docker-compose` with a missing executable error; what is the fix in the Docker configuration?,llm-zoomcamp,e8df9f0d12
How will my capstone project be judged after I submit it?,llm-zoomcamp,9a2e2d2008
Who is assigned to review each submitted capstone project?,llm-zoomcamp,9a2e2d2008
Do I need to grade other students’ capstone projects as well?,llm-zoomcamp,9a2e2d2008
What happens if I do not complete the required peer grading for the capstone?,llm-zoomcamp,9a2e2d2008
How is the final capstone score calculated from the reviewers’ grades?,llm-zoomcamp,9a2e2d2008
"After the deadline for submissions passes, what happens with project review assignments for each participant?",llm-zoomcamp,eae0fb50aa
"How many projects does each participant get assigned to review or grade, and in what format will that information be shared?",llm-zoomcamp,eae0fb50aa
"Will project review assignments be given before or after the submission deadline, and how are they distributed?",llm-zoomcamp,eae0fb50aa
What should I expect once the project submission deadline has ended regarding grading assignments?,llm-zoomcamp,eae0fb50aa
"Is there an Excel sheet used for assigning capstone project reviews, and how many projects will it list per participant?",llm-zoomcamp,eae0fb50aa
"How can I make sure a user can give feedback only once per submission, with just one +1 or -1 vote allowed?",llm-zoomcamp,2e729f1271
Why does my feedback button stay disabled or re-enable even though `st.session.submitted` should remain false after I press it?,llm-zoomcamp,2e729f1271
What should I check when `st.session.submitted` gets set back to True after one of the feedback buttons is clicked?,llm-zoomcamp,2e729f1271
Is there a known fix for the issue where Streamlit session state seems to reassign `submitted` unexpectedly after feedback is given?,llm-zoomcamp,2e729f1271
Where can I find the recommended solution for the Streamlit session attribute problem related to one-time feedback per submission?,llm-zoomcamp,2e729f1271
"I submitted my capstone project already, but I still can’t see anything to review — when will projects be assigned for evaluation?",llm-zoomcamp,a8a7fef016
"After the submission deadline passes, do I get to pick which projects I evaluate, or are they assigned automatically?",llm-zoomcamp,a8a7fef016
Why am I unable to start reviewing other projects before the project list is released?,llm-zoomcamp,a8a7fef016
"Does submitting my own project unlock the ability to review projects right away, or is there another waiting period?",llm-zoomcamp,a8a7fef016
"If the deadline has passed, what determines when I’ll get projects to evaluate in the capstone project?",llm-zoomcamp,a8a7fef016
Where can I look for project ideas and datasets for the capstone assignment?,llm-zoomcamp,e76a70cde3
Is there a page with suggested datasets and topics I can use for my project?,llm-zoomcamp,e76a70cde3
What resource should I check if I need help choosing an idea for the capstone project?,llm-zoomcamp,e76a70cde3
Do you have a link that lists possible project datasets and some guidance?,llm-zoomcamp,e76a70cde3
"Where can I find tips, guidelines, and example datasets for the course project?",llm-zoomcamp,e76a70cde3
"For the capstone project, is an orchestration tool like Airflow, Mage, or Kestra required, or is a plain Python script enough for the ingestion pipeline?",llm-zoomcamp,d4f7c08ea1
"If I build the ingestion flow in a Jupyter notebook instead of a Python script, how many points would that be worth for the ingestion pipeline criterion?",llm-zoomcamp,d4f7c08ea1
"When would it make sense to use an orchestrator in the capstone project, rather than avoiding one completely?",llm-zoomcamp,d4f7c08ea1
"Should I add an orchestration tool only to satisfy the capstone scoring rubric, or only when it matches the project needs?",llm-zoomcamp,d4f7c08ea1
"For a data source that gets updated every day, would using an orchestrator be a reasonable choice in the capstone project?",llm-zoomcamp,d4f7c08ea1
How can I evaluate a recommender-style RAG system when I don't have obvious Q&A ground truth labels?,llm-zoomcamp,9b0e2d6a47
What is a practical way to create synthetic ground truth for retrieval evaluation in a recommendation setting?,llm-zoomcamp,9b0e2d6a47
How do I use an LLM to generate test queries from each item description and then measure retrieval quality?,llm-zoomcamp,9b0e2d6a47
"For end-to-end evaluation of a recommender RAG, how can an LLM act as a judge and what rubric should I use?",llm-zoomcamp,9b0e2d6a47
"When multiple retrieved items could be acceptable, why is NDCG often a better metric than hit rate?",llm-zoomcamp,9b0e2d6a47
"Can I use the workshop content in my own capstone project, since dlt is open-source?",llm-zoomcamp,d850a0e7ea
"Is it okay to reuse these workshop materials for another Zoomcamp project, such as MLOps?",llm-zoomcamp,d850a0e7ea
Does the workshop allow me to apply dlt directly in my own projects without restrictions?,llm-zoomcamp,d850a0e7ea
"If I have questions about using the materials in a project, can I ask about it?",llm-zoomcamp,d850a0e7ea
"Are these workshop resources meant only for the workshop, or can I use them more broadly in my work?",llm-zoomcamp,d850a0e7ea
"For a large corpus with long PDFs and lots of paragraphs, what chunking approach should I start with before trying anything more advanced?",llm-zoomcamp,6f2a8b3d10
"How can I split documents into more meaningful chunks than fixed-size windows, and is it worth asking an LLM to do the splitting?",llm-zoomcamp,6f2a8b3d10
"Should I create a short summary for every chunk and use it in retrieval, and if so how does that help?",llm-zoomcamp,6f2a8b3d10
"When the documents are long and structured, like legal or financial PDFs, why would hybrid search be better than only dense embeddings?",llm-zoomcamp,6f2a8b3d10
"What tools can I use to turn PDFs into cleaner markdown before chunking, and how should I check whether a new chunking method is actually better?",llm-zoomcamp,6f2a8b3d10
"In the capstone project, what does reproducibility mean for the reviewer, and do they ever need my API keys?",llm-zoomcamp,e5d8a2c761
How should I let a peer recreate the search index and system from scratch when they clone my repository?,llm-zoomcamp,e5d8a2c761
"What should I put in a .env.example file, and why must the real .env stay out of version control?",llm-zoomcamp,e5d8a2c761
Which model should I use so the reviewer does not waste too many credits while testing the project?,llm-zoomcamp,e5d8a2c761
What dependency and environment versions do I need to pin or document to make the project easier to run again?,llm-zoomcamp,e5d8a2c761
How do I create a fresh dlt project for loading data from a cloud filesystem into DuckDB?,llm-zoomcamp,6bceeebf04
What command should I run to initialize a new dlt pipeline using the filesystem source and DuckDB destination?,llm-zoomcamp,6bceeebf04
"If I want to start a dlt project from scratch for cloud loading, what is the setup command?",llm-zoomcamp,6bceeebf04
"Which initialization command should I use when working with dlt, filesystem, and DuckDB together?",llm-zoomcamp,6bceeebf04
Where can I find the next steps after running the dlt filesystem-to-DuckDB init command?,llm-zoomcamp,6bceeebf04
"Does DLT currently provide ready-made connectors for ClickHouse or StarRocks, or are those still missing?",llm-zoomcamp,cd19f122f3
"If I want to use ClickHouse or StarRocks with DLT, is there already built-in support for them?",llm-zoomcamp,cd19f122f3
"Are connectors for ClickHouse and StarRocks available in DLT today, or would I need to rely on something else?",llm-zoomcamp,cd19f122f3
Does DLT support loading data into ClickHouse or StarRocks through official connectors right now?,llm-zoomcamp,cd19f122f3
"What is the current status of ClickHouse and StarRocks connector support in DLT, and can the community help add them?",llm-zoomcamp,cd19f122f3
How can I see the full list of tables currently stored in the database?,llm-zoomcamp,e394e6f738
What method should I call to get all table names from the database?,llm-zoomcamp,e394e6f738
Is there a way to check which tables exist in the DB using dlt?,llm-zoomcamp,e394e6f738
How do I retrieve the names of every table in the database?,llm-zoomcamp,e394e6f738
Which function returns the table names so I can inspect the DB contents?,llm-zoomcamp,e394e6f738
Why do I get a `FileNotFoundError` when I try to open `notion_pages___homework` with `db.open_table(...)`?,llm-zoomcamp,0407213397
What should I check if the table name still causes `Table notion_pages___homework does not exist` during the dlt workshop?,llm-zoomcamp,0407213397
Could this table-opening error mean I forgot to update every `employee_handbook` reference to `homework` in my pipeline settings?,llm-zoomcamp,0407213397
How can I fix the issue where `db.create_table(...)` is suggested even though I expected `notion_pages___homework` to already exist?,llm-zoomcamp,0407213397
Is the problem caused by leaving some old `employee_handbook` names unchanged when I switched the pipeline to `homework`?,llm-zoomcamp,0407213397
How should I fix the FileNotFoundError saying that the table notion_pages___homework does not exist when I run main()?,llm-zoomcamp,e95bfafc0e
"In the dlt workshop code, which table name should I open on line 3 to avoid the missing table error?",llm-zoomcamp,e95bfafc0e
What change do I need to make if db.create_table is not called and the error says notion_pages___homework is missing?,llm-zoomcamp,e95bfafc0e
Where should I point db.open_table so main() can work without the table-not-found failure?,llm-zoomcamp,e95bfafc0e
"If I get an error about table notion_pages___homework not existing, what is the correct table opening line in the script?",llm-zoomcamp,e95bfafc0e
"Why do I get a 401 Unauthorized when my notebook calls the Notion search endpoint, and what should I check first?",llm-zoomcamp,0dfba07ace
"If my notebook says it does not have secret access, could the Notion integration token or key be wrong or missing permissions?",llm-zoomcamp,0dfba07ace
"How can I tell whether the issue is an expired token, a bad endpoint, or some other auth configuration problem with Notion API access?",llm-zoomcamp,0dfba07ace
What steps should I follow to fix authorization errors when using the Notion API in the dlt workshop notebook?,llm-zoomcamp,0dfba07ace
Where should I look in my setup if the notebook can’t access api.notion.com/v1/search due to an authentication problem?,llm-zoomcamp,0dfba07ace
How can I install the specific requests release that lanceDB needs when pip keeps giving me 2.28 instead of 2.32?,llm-zoomcamp,4b30b918bc
What command should I use to pull requests directly from the project archive rather than the default package index?,llm-zoomcamp,4b30b918bc
"If I run into a 401 Client Error during this setup, what should I check about the key or access permissions?",llm-zoomcamp,4b30b918bc
Is there a way to force-install requests version 2.32.3 from GitHub for this workshop?,llm-zoomcamp,4b30b918bc
"Why am I seeing an older requests version in my environment, and how do I get the newer one required by lancedb?",llm-zoomcamp,4b30b918bc
