question,answer_agent,answer_orig,tool_calls,cost,document
Which YouTube account does the course use for the lecture videos?,"The course uses **DataTalks.Club’s YouTube account** for the lecture videos.

If you want, I can also help find where the lecture playlist is linked.","Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""YouTube account lecture videos course use lecture videos YouTube account\""}""}]",0.00110025,31456f4b5f
When is the next time this course will run?,"The next offering of the course is **Summer 2025**.

If you want, I can also help with other course schedule or enrollment questions.",Summer 2025.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next time this course will run course schedule future run next offering\""}""}]",0.0009525,bd31146b0e
Do you know the next offering date for the course?,"Yes — the next offering date for the course is **Summer 2025**.

If you want, I can also help with other course details like registration, certificates, or homework deadlines.",Summer 2025.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next offering date for the course offering date next course\""}""}]",0.0009795,bd31146b0e
What term is the course scheduled for next?,"The course is scheduled for **Summer 2025**.

Is there anything else you’d like to know about the course or term schedule?",Summer 2025.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""course scheduled for next term next term schedule upcoming term\""}""}]",0.0009315,bd31146b0e
When should I expect the course to be available again?,"The course is expected to be offered again in **Summer 2025**.

If you’d like, I can also help with when registration or homework submissions are likely to open. Are there other areas you want to explore?",Summer 2025.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""course available again when should I expect the course to be available again availability when course returns\""}""}]",0.00104775,bd31146b0e
Is the next course session planned for Summer 2025?,"Yes — the next course session is planned for **Summer 2025**.

Would you like to know anything else about the course schedule or enrollment?",Summer 2025.,"[{""name"": ""search"", ""arguments"": ""{\""query\"":\""next course session planned for Summer 2025 course session schedule Summer 2025\""}""}]",0.00101325,bd31146b0e
"If I missed the first homework, am I still eligible for the certificate as long as I complete the Capstone project?","Yes — missing the first homework does **not** disqualify you from the certificate.

You can still earn the certificate as long as you **complete and pass the Capstone project**. Homework is **not mandatory**; it’s mainly recommended for practice and for leaderboard points.

If you want, I can also explain the capstone/peer-review requirements for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""missed first homework eligible for certificate complete Capstone project certificate homework capstone\""}""}]",0.00128925,9f689c185f
"Do I have to submit every homework assignment to receive the course certificate, or is that optional?","No, homework is not mandatory for the certificate.

You only need to pass the Capstone project to get the course certificate. Homework is optional, though it’s recommended because it helps reinforce the material and the points count toward the leaderboard.

If you want, I can also explain the certificate requirements in more detail.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""course certificate homework assignment submit every homework optional certificate FAQ\""}""}]",0.001125,9f689c185f
"What is required to earn the certificate in this course, and does the Capstone project matter more than homework?","To earn the certificate in this course:

- You must complete the course with a **live cohort**; self-paced participation does **not** qualify for a certificate.
- You must **pass the Capstone project**.
- You also need to **peer-review 3 other capstone projects** during the course period.

About homework vs. Capstone:

- **Capstone matters more for the certificate.**
- **Homework is not mandatory** for the certificate, though it is recommended and contributes to your **leaderboard rank**.

So the short answer is: **Capstone is required; homework is optional for the certificate.**

Would you like me to explain how the capstone peer-review process works too?","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate course requirements capstone project homework certificate earn course capstone homework\""}""}]",0.00158175,9f689c185f
"Are homework submissions mandatory for certification, or are they mainly recommended for practice and leaderboard points?","Homework submissions are **not mandatory for certification**. You only need to **pass the Capstone project** to get the certificate.

Homework is mainly:
- **recommended for practice**, to reinforce the material
- useful for **leaderboard points**, which affect your rank

If you want, I can also explain how the leaderboard and certificate name work.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""homework submissions mandatory certification recommended practice leaderboard points certification homework mandatory leaderboard points\""}""}]",0.00128475,9f689c185f
"Can I still get certified if I skip some homework, provided I pass the Capstone project?","Yes — homework is not mandatory. According to the course FAQ, you can still get the certificate as long as you **pass the Capstone project**. Homework is recommended for practice and contributes to your **leaderboard rank**, but it is not required for certification.

If you want, I can also explain what “passing the Capstone” typically involves.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certified skip some homework pass Capstone project homework requirement certification FAQ\""}""}, {""name"": ""search"", ""arguments"": ""{\""query\"":\""homework skipped certification pass capstone project certificate homework requirement FAQ\""}""}]",0.002394,9f689c185f
